,Node ID, X(m), Y(m), Z(m),Directional Deformation (m)
0,515,-0.62,0.0,0.0,0.0
1,550,-0.61,1.0272e-33,0.0,0.0
2,549,-0.6,2.0543e-33,0.0,0.0
3,548,-0.59,3.0815000000000004e-33,0.0,0.0
4,547,-0.58,4.1087e-33,0.0,0.0
5,546,-0.57,5.1358000000000005e-33,0.0,0.0
6,545,-0.56,6.163e-33,0.0,0.0
7,544,-0.55,7.1901e-33,0.0,0.0
8,543,-0.54,8.217300000000001e-33,0.0,0.0
9,542,-0.53,9.2445e-33,0.0,0.0
10,541,-0.52,1.0272e-32,0.0,0.0
11,540,-0.51,1.1299e-32,0.0,0.0
12,477,-0.5,0.0,0.0,0.0
13,624,-0.49,1.1833e-32,0.0,-1.4533e-09
14,623,-0.48,1.134e-32,0.0,-5.7454e-09
15,622,-0.47,1.0847e-32,0.0,-1.2814e-08
16,621,-0.46,1.0354e-32,0.0,-2.2597e-08
17,620,-0.45,9.8608e-33,0.0,-3.5033e-08
18,619,-0.44,9.3677e-33,0.0,-5.0062e-08
19,618,-0.43,8.8747e-33,0.0,-6.7624e-08
20,617,-0.42,8.3816e-33,0.0,-8.7659e-08
21,616,-0.41,7.888600000000001e-33,0.0,-1.1011e-07
22,615,-0.4,7.3956e-33,0.0,-1.3492e-07
23,614,-0.39,6.9025e-33,0.0,-1.6203e-07
24,613,-0.38,6.4095e-33,0.0,-1.9138e-07
25,612,-0.37,5.9165000000000006e-33,0.0,-2.2293e-07
26,611,-0.36,5.4234e-33,0.0,-2.5661e-07
27,610,-0.35,4.9304e-33,0.0,-2.9238e-07
28,609,-0.34,4.4373e-33,0.0,-3.3017e-07
29,608,-0.33,3.9443000000000004e-33,0.0,-3.6995e-07
30,607,-0.32,3.4513e-33,0.0,-4.1165e-07
31,606,-0.31,2.9582e-33,0.0,-4.5523e-07
32,605,-0.3,2.4652e-33,0.0,-5.0064e-07
33,604,-0.29,1.9722000000000002e-33,0.0,-5.4783e-07
34,603,-0.28,1.4791e-33,0.0,-5.9676e-07
35,602,-0.27,9.8608e-34,0.0,-6.4738e-07
36,601,-0.26,4.9304e-34,0.0,-6.9963e-07
37,551,-0.25,0.0,0.0,-7.5349e-07
38,1221,-0.24,0.0,0.0,-8.089e-07
39,1220,-0.23,0.0,0.0,-8.6583e-07
40,1219,-0.22,0.0,0.0,-9.2422e-07
41,1218,-0.21,0.0,0.0,-9.8404e-07
42,1217,-0.2,0.0,0.0,-1.0453e-06
43,1216,-0.19,0.0,0.0,-1.1078e-06
44,1215,-0.18,0.0,0.0,-1.1717e-06
45,1214,-0.17,0.0,0.0,-1.2368e-06
46,1213,-0.16,0.0,0.0,-1.3032e-06
47,1212,-0.15,0.0,0.0,-1.3707e-06
48,1211,-0.14,0.0,0.0,-1.4395e-06
49,1210,-0.13,0.0,0.0,-1.5093e-06
50,1209,-0.12,0.0,0.0,-1.5803e-06
51,1208,-0.11,0.0,0.0,-1.6522e-06
52,1207,-0.1,0.0,0.0,-1.7253e-06
53,1206,-0.09,0.0,0.0,-1.7993e-06
54,1205,-0.08,0.0,0.0,-1.8742e-06
55,1204,-0.07,0.0,0.0,-1.9501e-06
56,1203,-0.06,0.0,0.0,-2.0269e-06
57,1202,-0.05,0.0,0.0,-2.1045e-06
58,1201,-0.04,0.0,0.0,-2.183e-06
59,1200,-0.03,0.0,0.0,-2.2623e-06
60,1199,-0.02,0.0,0.0,-2.3423e-06
61,1198,-0.01,0.0,0.0,-2.4231e-06
62,676,0.0,0.0,0.0,-2.5047e-06
63,724,0.01,0.0,0.0,-2.5869e-06
64,723,0.02,0.0,0.0,-2.6698e-06
65,722,0.03,0.0,0.0,-2.7533e-06
66,721,0.04,0.0,0.0,-2.8374e-06
67,720,0.05,0.0,0.0,-2.9222e-06
68,719,0.06,0.0,0.0,-3.0075e-06
69,718,0.07,0.0,0.0,-3.0933e-06
70,717,0.08,0.0,0.0,-3.1797e-06
71,716,0.09,0.0,0.0,-3.2665e-06
72,715,0.1,0.0,0.0,-3.3539e-06
73,714,0.11,0.0,0.0,-3.4417e-06
74,713,0.12,0.0,0.0,-3.5299e-06
75,712,0.13,0.0,0.0,-3.6185e-06
76,711,0.14,0.0,0.0,-3.7075e-06
77,710,0.15,0.0,0.0,-3.797e-06
78,709,0.16,0.0,0.0,-3.8867e-06
79,708,0.17,0.0,0.0,-3.9768e-06
80,707,0.18,0.0,0.0,-4.0672e-06
81,706,0.19,0.0,0.0,-4.1579e-06
82,705,0.2,0.0,0.0,-4.249e-06
83,704,0.21,0.0,0.0,-4.3402e-06
84,703,0.22,0.0,0.0,-4.4318e-06
85,702,0.23,0.0,0.0,-4.5235e-06
86,701,0.24,0.0,0.0,-4.6155e-06
87,625,0.25,0.0,0.0,-4.7077e-06
88,1269,0.26,4.9304e-34,0.0,-4.8001e-06
89,1268,0.27,9.8608e-34,0.0,-4.8927e-06
90,1267,0.28,1.4791e-33,0.0,-4.9854e-06
91,1266,0.29,1.9722000000000002e-33,0.0,-5.0783e-06
92,1265,0.3,2.4652e-33,0.0,-5.1714e-06
93,1264,0.31,2.9582e-33,0.0,-5.2646e-06
94,1263,0.32,3.4513e-33,0.0,-5.3579e-06
95,1262,0.33,3.9443000000000004e-33,0.0,-5.4513e-06
96,1261,0.34,4.4373e-33,0.0,-5.5449e-06
97,1260,0.35,4.9304e-33,0.0,-5.6385e-06
98,1259,0.36,5.4234e-33,0.0,-5.7323e-06
99,1258,0.37,5.9165000000000006e-33,0.0,-5.8261e-06
100,1257,0.38,6.4095e-33,0.0,-5.9199e-06
101,1256,0.39,6.9025e-33,0.0,-6.0139e-06
102,1255,0.4,7.3956e-33,0.0,-6.1079e-06
103,1254,0.41,7.888600000000001e-33,0.0,-6.202e-06
104,1253,0.42,8.3816e-33,0.0,-6.2961e-06
105,1252,0.43,8.8747e-33,0.0,-6.3903e-06
106,1251,0.44,9.3677e-33,0.0,-6.4845e-06
107,1250,0.45,9.8608e-33,0.0,-6.5787e-06
108,1249,0.46,1.0354e-32,0.0,-6.673e-06
109,1248,0.47,1.0847e-32,0.0,-6.7673e-06
110,1247,0.48,1.134e-32,0.0,-6.8616e-06
111,1246,0.49,1.1833e-32,0.0,-6.956e-06
112,763,0.5,0.0,0.0,-7.0504e-06
113,798,0.51,1.1299e-32,0.0,-7.1448e-06
114,797,0.52,1.0272e-32,0.0,-7.2393e-06
115,796,0.53,9.2445e-33,0.0,-7.3337e-06
116,795,0.54,8.217300000000001e-33,0.0,-7.4282e-06
117,794,0.55,7.1901e-33,0.0,-7.5228e-06
118,793,0.56,6.163e-33,0.0,-7.6173e-06
119,792,0.57,5.1358000000000005e-33,0.0,-7.7119e-06
120,791,0.58,4.1087e-33,0.0,-7.8065e-06
121,790,0.59,3.0815000000000004e-33,0.0,-7.9011e-06
122,789,0.6,2.0543e-33,0.0,-7.9958e-06
123,788,0.61,1.0272e-33,0.0,-8.0905e-06
124,726,0.62,0.0,0.0,-8.1852e-06
